run_id,x1,x2,x3,x4,x5,x6,stress,displacement,time_s
1,292681949433.38,0.142651832139018,1.21225043980971e-05,10.7827368830654,203.97767742462,214086.593620003,1378413731.30326,0.0016650702822453,86.23048
2,276038984506.04,0.442785534118368,1.27343193385791e-05,11.5992332109045,207.98330287073,187294.952802096,1183026242.50949,0.0016729562554956,86.607658
3,215719385319.61,0.482705212166692,8.43125784524259e-06,11.805160827631,265.531466981519,367524.780636467,628738098.796602,0.0010106208524412,87.547876
4,220440910377.779,0.376149955357491,5.14213920028173e-06,12.7183174196451,332.519393130625,339425.145143785,446074544.496135,0.0007751385952823,86.189034
5,283488698443.404,0.42415084781956,1.13111651710421e-05,10.1692255212688,292.673206365275,461280.375058295,1067056079.06119,0.0014011173260612,86.241232
6,205754916151.798,0.191067623163051,1.00285094130479e-05,7.16604619560406,335.6669587236,139066.18579843,910491479.047863,0.0017517218665443,86.344205
7,268105866846.202,0.39194398521285,1.1156194115634e-05,14.1679948545092,96.0066347245846,399782.744487765,920509100.261157,0.0012861746013625,86.212907
8,261886973712.926,0.200669374984278,5.44631562986361e-06,10.5118520428463,201.925306558879,445307.64366627,514961831.339906,0.0006959834892492,86.194534
9,230607909200.586,0.268025925872315,1.14725813241415e-05,6.10495296872881,93.5931594926013,323196.780003206,843706470.063535,0.0016889734872329,86.833621
10,236142238731.569,0.261122013169522,1.29086222478275e-05,11.1088646672463,349.760617871785,197439.995354155,1240013943.33912,0.0018449532748521,87.115807
11,238875998571.04,0.245334139030645,9.95260621829956e-06,9.10830408150339,61.9147839026716,117406.191512215,825429060.119362,0.0016830350168995,76.15067
12,271390746005.062,0.368491183346225,6.16757662145267e-06,6.61077535998524,220.246402271552,119328.722037421,649203979.250895,0.0012003588773594,76.157317
13,223174225683.117,0.344046235304911,1.4812119421666e-05,6.79133403319226,88.6201031273139,254240.298609184,1029616980.67387,0.0021589804101613,76.162218
14,202149449277.004,0.210583133910682,1.06007967447465e-05,11.4668357328864,320.44510311277,268663.560692043,892385577.825215,0.0015085986385929,76.800957
15,206543247712.269,0.304409042525806,5.31460281496154e-06,6.55254817294134,331.169642677895,145563.478213667,497392178.842561,0.0012339478515243,76.162218
16,254849828653.392,0.114530356057046,7.53140004160064e-06,8.67652021056164,326.198780618377,362997.161266975,816275950.497735,0.0010405965928227,78.717332
17,281877889533.644,0.231579583514799,1.33730470361638e-05,8.92046074577663,225.530617974147,423469.48390278,1369851888.01766,0.0017042442465841,76.624145
18,259320247616.842,0.138727119498734,1.24585812966901e-05,9.30756203843749,339.756495934806,445900.422972711,1343533807.09916,0.0016028268962736,76.149421
19,299221332071.797,0.196965500333122,6.96549820997119e-06,12.840034160939,193.987994178,164488.56402808,841390108.72685,0.0010938554506393,48.567509
